"bluestock_fintech_—_nifty_100__|__documents__|__1,585_records",unnamed:_1,unnamed:_2,unnamed:_3,year_label,fiscal_year,quarter,is_ttm,is_half_year,sort_order
190,BAJAJ-AUTO,2011,https://www.bseindia.com/bseplus/AnnualReport/532977/5329770311.pdf,190,,,False,False,0
191,BAJAJ-AUTO,2010,Null,191,,,False,False,0
192,BAJAJ-AUTO,2009,Null,192,,,False,False,0
193,BAJAJFINSV,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a5a72b88-dcc6-45a3-8a32-ae88079475ff.pdf,193,,,False,False,0
194,BAJAJFINSV,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//641ff85b-b60c-4c73-93e9-52963d7d50ac.pdf,194,,,False,False,0
195,BAJAJFINSV,2022,https://www.bseindia.com/bseplus/AnnualReport/532978/73489532978.pdf,195,,,False,False,0
196,BAJAJFINSV,2021,https://www.bseindia.com/bseplus/AnnualReport/532978/68643532978.pdf,196,,,False,False,0
197,BAJAJFINSV,2020,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780320.pdf,197,,,False,False,0
198,BAJAJFINSV,2019,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780319.pdf,198,,,False,False,0
199,BAJAJFINSV,2018,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780318.pdf,199,,,False,False,0
200,BAJAJFINSV,2017,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780317.pdf,200,,,False,False,0
201,BAJAJFINSV,2016,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780316.pdf,201,,,False,False,0
202,BAJAJFINSV,2015,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780315.pdf,202,,,False,False,0
203,BAJAJFINSV,2014,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780314.pdf,203,,,False,False,0
204,BAJAJFINSV,2013,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780313.pdf,204,,,False,False,0
205,BAJAJFINSV,2012,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780312.pdf,205,,,False,False,0
206,BAJAJFINSV,2011,https://www.bseindia.com/bseplus/AnnualReport/532978/5329780311.pdf,206,,,False,False,0
207,BAJAJFINSV,2010,Null,207,,,False,False,0
208,BAJAJFINSV,2009,Null,208,,,False,False,0
209,BAJAJHLDNG,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b75eed15-4e02-413b-a30a-fdcc0f6c7524.pdf,209,,,False,False,0
210,BAJAJHLDNG,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//6ae5a2c9-7852-4019-96b5-147d0f80c617.pdf,210,,,False,False,0
211,BAJAJHLDNG,2022,https://www.bseindia.com/bseplus/AnnualReport/500490/73487500490.pdf,211,,,False,False,0
212,BAJAJHLDNG,2021,https://www.bseindia.com/bseplus/AnnualReport/500490/68686500490.pdf,212,,,False,False,0
213,BAJAJHLDNG,2020,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900320.pdf,213,,,False,False,0
214,BAJAJHLDNG,2019,https://www.bseindia.com/bseplus/AnnualReport/500490/5004900319.pdf,214,,,False,False,0
