id,company_id,year,annual_report
484,EICHERMOT,2021,https://www.bseindia.com/bseplus/AnnualReport/505200/69102505200.pdf
485,EICHERMOT,2020,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000320.pdf
486,EICHERMOT,2019,
487,EICHERMOT,2018,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000318.pdf
488,EICHERMOT,2017,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000317.pdf
489,EICHERMOT,2016,https://www.bseindia.com/bseplus/AnnualReport/505200/5052000316.pdf
490,EICHERMOT,2015,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/EICHER_MOTORS_LTD-505200-MARCH-2015.PDF
491,EICHERMOT,2014,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001214.pdf
492,EICHERMOT,2013,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001213.pdf
493,EICHERMOT,2012,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001212.pdf
494,EICHERMOT,2011,https://www.bseindia.com/bseplus/AnnualReport/505200/5052001211.pdf
495,EICHERMOT,2010,
496,EICHERMOT,2009,
497,GAIL,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a3d9f45c-7451-469c-a953-87d895e6fcb2.pdf
498,GAIL,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//18f9ed26-4838-4cf6-b1d5-bac8483dbd38.pdf
499,GAIL,2022,https://www.bseindia.com/bseplus/AnnualReport/532155/74034532155.pdf
500,GAIL,2021,https://www.bseindia.com/bseplus/AnnualReport/532155/69529532155.pdf
501,GAIL,2020,https://www.bseindia.com/bseplus/AnnualReport/532155/65117532155.pdf
502,GAIL,2019,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550319.pdf
503,GAIL,2018,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550318.pdf
504,GAIL,2017,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550317.pdf
505,GAIL,2016,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550316.pdf
506,GAIL,2015,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550315.pdf
507,GAIL,2014,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550314.pdf
508,GAIL,2013,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550313.pdf
509,GAIL,2012,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550312.pdf
510,GAIL,2011,https://www.bseindia.com/bseplus/AnnualReport/532155/5321550311.pdf
511,GAIL,2010,
512,GAIL,2009,
513,GODREJCP,2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a96872e8-1acd-4801-91bf-ae002661701a.pdf
514,GODREJCP,2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//5832fc49-7be6-4ab2-ac1f-e570fbe601eb.pdf
515,GODREJCP,2022,https://www.bseindia.com/bseplus/AnnualReport/532424/73620532424.pdf
516,GODREJCP,2021,https://www.bseindia.com/bseplus/AnnualReport/532424/68872532424.pdf
517,GODREJCP,2020,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240320.pdf
518,GODREJCP,2019,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240319.pdf
519,GODREJCP,2018,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240318.pdf
520,GODREJCP,2017,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240317.pdf
521,GODREJCP,2016,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240316.pdf
522,GODREJCP,2015,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240315.pdf
523,GODREJCP,2014,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240314.pdf
524,GODREJCP,2013,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240313.pdf
525,GODREJCP,2012,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240312.pdf
526,GODREJCP,2011,https://www.bseindia.com/bseplus/AnnualReport/532424/5324240311.pdf
527,GODREJCP,2010,
